ISO3,Mean_EDI_2010_2015,SD_EDI_2010_2015,N_Years,Mean_ART_2010_2015,Country_Raw
AFG,-0.24662183603381585,0.22229500487308473,6,3.5,AFG
AGO,0.06773666826354702,0.1013365940238961,6,15.666666666666666,AGO
ALB,0.7157252232762586,1.7897982965349486,6,32.333333333333336,ALB
ARE,-1.1725779355239931,0.08545356661183524,6,27.333333333333332,ARE
ARG,0.28247197750481245,0.052920933031491646,6,53.5,ARG
ARM,0.3571996582479841,0.024032156497817862,6,19.666666666666668,ARM
AUS,-0.1514415264314143,0.07365628081862167,6,70.66666666666667,AUS
AZE,0.1100377890361063,0.06617042697508119,6,14.833333333333334,AZE
BDI,0.08657051689763347,0.3967673792632197,6,34.666666666666664,BDI
BEL,-0.05352766175652218,0.1153350918416734,6,82.5,BEL
BEN,0.08762807330449596,0.35635472963073017,6,36.333333333333336,BEN
BFA,0.2708598751265438,0.5431756320459994,6,40.166666666666664,BFA
BGD,-1.8312514346474877,0.20553848329817623,6,9.833333333333334,BGD
BGR,-0.27776221113670874,0.0660444940678391,6,26.5,BGR
BHR,0.20899602420526012,0.11574184477059259,6,30.166666666666668,BHR
BHS,0.2384535972738823,0.043674691781853486,6,42.166666666666664,BHS
BLZ,-0.2151545401619869,1.2095585104714532,6,31.666666666666668,BLZ
BOL,0.40698006187860897,0.1565224096530804,6,12.5,BOL
BRA,0.6760200488892885,0.0818362365900192,6,55.333333333333336,BRA
BRB,0.2148767034725251,0.043981143313244354,6,43.166666666666664,BRB
BTN,0.49659018654600334,0.04544504246603557,6,28.0,BTN
BWA,-0.3460371724596034,0.24579361929095528,6,61.333333333333336,BWA
CAF,-0.08471160676031819,0.18189258687287127,6,15.5,CAF
CAN,-0.1487299151460626,0.24318497302104514,6,57.166666666666664,CAN
CHE,0.06722380883114441,0.01713902291538721,6,75.33333333333333,CHE
CHL,0.5415748118506851,0.10285842348023423,6,48.5,CHL
CIV,-0.14193350333796959,0.3145388132169558,6,24.166666666666668,CIV
CMR,-0.29300954722490363,0.2225532767934946,6,22.0,CMR
COD,0.15276407476872977,0.12570397540096376,6,13.333333333333334,COD
COG,0.2297830160807889,0.05963104284182492,6,18.0,COG
COL,0.2735443034037804,0.1988544037126922,6,29.0,COL
COM,0.4197578420932941,0.057647073987898485,6,22.333333333333332,COM
CPV,1.673919241888589,2.996800186903142,6,43.833333333333336,CPV
CRI,0.48456095190225873,0.19504249007352967,6,36.666666666666664,CRI
CUB,0.2710449291472371,0.09626389965259531,6,37.833333333333336,CUB
DEU,-0.400261860115105,0.19974697616615938,5,76.4,DEU
DJI,-0.19148993641006426,0.3513971219830217,6,10.0,DJI
DNK,-0.20101218802025586,0.03668905787913311,6,73.33333333333333,DNK
DOM,0.16322583490081494,0.12699768165635086,6,27.0,DOM
DZA,-0.16362566115289742,0.199455691618748,6,33.5,DZA
ECU,0.2329203672820727,0.14590403502082672,6,27.666666666666668,ECU
EGY,0.003664022561763692,0.10919862343610694,6,5.0,EGY
ERI,0.639557664974315,0.10663695497744344,6,42.0,ERI
ESP,0.2299560576943116,0.05639685984010541,6,69.83333333333333,ESP
EST,-0.09334057016922213,1.1955713012045188,6,46.333333333333336,EST
ETH,0.08149790753960715,0.2335351626356094,6,46.833333333333336,ETH
FJI,1.4207180911895778,1.899903939252297,6,48.5,FJI
FRA,0.07839328513144843,0.16528847759664733,6,87.0,FRA
GAB,-0.15012541426063605,0.10796458041635293,6,33.666666666666664,GAB
GEO,0.6302325024544924,0.1750731373860925,6,48.0,GEO
GHA,0.18791862179540267,0.16398717702970372,6,21.666666666666668,GHA
GIN,0.27257884220401746,0.47800985066719026,6,24.0,GIN
GMB,0.04876295173467882,0.1774108826779684,6,15.0,GMB
GNB,-0.32618371197675405,0.2756172658412673,6,17.666666666666668,GNB
GRC,0.1365590572669423,0.040663422121300544,6,53.666666666666664,GRC
GTM,0.13564446314847145,0.5028981721629903,6,54.0,GTM
GUY,0.45062106667899077,0.024588748436856434,6,53.333333333333336,GUY
HND,0.18943848321800238,0.05013597775858019,6,42.666666666666664,HND
HRV,-0.3898222282962043,0.07622658458798823,6,51.666666666666664,HRV
HTI,0.23963236079514014,0.2531347582109306,6,22.5,HTI
IDN,0.3487225805982037,0.10486801436121215,6,8.0,IDN
IRL,0.26692784745599446,0.06750342272886749,6,68.33333333333333,IRL
IRQ,-3.0370693065481706,0.0744250994671677,6,22.666666666666668,IRQ
ISL,0.29383613455867746,0.01375591515008171,6,69.0,ISL
ITA,0.2589415123267183,0.06881661152063821,6,71.16666666666667,ITA
JAM,-0.015682553710628214,0.17235550707449906,6,27.833333333333332,JAM
JOR,-1.2302985886219773,0.158237822996925,6,36.666666666666664,JOR
KAZ,0.6898674027474531,0.1575430553133398,6,15.333333333333334,KAZ
KEN,-0.28638492543364763,0.1845132794433948,6,46.333333333333336,KEN
KGZ,0.5298408752720623,0.245767853710841,6,16.666666666666668,KGZ
KHM,0.28648881388793485,0.31166493140322116,6,58.333333333333336,KHM
LAO,0.6865546616608849,0.19279380567854343,6,23.333333333333332,LAO
LBY,0.43242599858381464,0.10603705139929759,6,51.833333333333336,LBY
LKA,-0.3536268404289682,0.057156480023294834,6,12.333333333333334,LKA
LSO,-0.6948871201320178,0.21161702901678953,6,39.833333333333336,LSO
LTU,0.40586229063141727,0.020314441143790257,6,14.0,LTU
LUX,0.2508979868579815,0.04699267802405234,6,59.5,LUX
LVA,0.3321369643397325,0.0769453769158949,6,12.0,LVA
MAR,-0.1472766109671072,0.15655677329796955,6,26.5,MAR
MDA,-0.05330354598328665,0.22854741221287908,6,13.166666666666666,MDA
MDG,0.7179960131109615,0.11437880608190072,6,1.6666666666666667,MDG
MDV,0.19588916898724337,0.07637864380229949,6,19.5,MDV
MEX,0.512664255602885,0.12919988471741273,6,35.833333333333336,MEX
MKD,0.1851044198264855,0.034519115376349045,6,27.666666666666668,MKD
MLI,0.24844905469688194,0.4289458768558805,6,25.5,MLI
MLT,0.2286870450029298,0.013330634254294633,6,39.833333333333336,MLT
MMR,0.4171674477158922,0.1618595858709459,6,24.666666666666668,MMR
MNE,0.3501196060292788,0.02297247729554492,6,30.333333333333332,MNE
MNG,-0.08393133846866785,0.01374385887976974,6,16.666666666666668,MNG
MOZ,-0.2959708183136645,0.1984201250061756,6,24.833333333333332,MOZ
MRT,-0.062010824427889195,1.184370755458837,6,24.0,MRT
MWI,-0.3053289914338462,0.09473313693838738,6,44.0,MWI
MYS,0.24452770086146539,0.15014003142626073,6,23.5,MYS
NAM,-0.6040825884438968,0.14938031976263424,6,52.0,NAM
NER,0.18216590652206124,0.8591205938574166,6,30.166666666666668,NER
NGA,0.03505763365886852,0.21196317831592645,6,28.0,NGA
NLD,-0.47213766649518935,0.2175447591855836,6,72.33333333333333,NLD
NPL,0.0575218447214495,0.09382262320006504,6,21.0,NPL
NZL,-0.04875650879763687,0.01901702738359519,6,59.0,NZL
OMN,-0.026232679527024644,0.16466991665545164,6,34.333333333333336,OMN
PAN,0.33816570304434745,0.17995658930450573,6,35.5,PAN
PER,0.6712279235520532,0.3286033155962242,6,38.0,PER
PHL,1.0120556060744348,0.16424691452333248,6,12.5,PHL
PNG,0.4106276428750288,0.1285642035326655,6,21.5,PNG
PRT,0.07118344526989472,0.15950518196413618,6,60.833333333333336,PRT
PRY,0.4629241258630173,0.17242561891244315,6,29.5,PRY
QAT,-0.08266300906622147,0.1967813277654172,6,40.44444444444445,QAT
ROU,-0.01566434827788476,0.10465089673959645,6,57.833333333333336,ROU
RWA,-0.14472251389120613,0.2791853065240634,6,49.833333333333336,RWA
SAU,-1.1337917608028543,1.5127728902010595,6,45.0,SAU
SDN,0.5152256428759472,0.11610581980423082,6,10.833333333333334,SDN
SEN,0.20692125685199067,0.2941154050979876,6,34.5,SEN
SGP,0.3582753100191188,0.05666273386993484,6,63.333333333333336,SGP
SLE,0.06788617714725054,0.06744507051272956,6,13.5,SLE
SLV,0.2779781968017148,0.4226167954257875,6,50.166666666666664,SLV
SOM,-0.037682974982076435,0.11482967912142922,6,16.333333333333332,SOM
SRB,-0.25768230897377514,0.04139191422315532,6,46.333333333333336,SRB
SUR,0.19075733688015073,0.037902671128544514,6,28.5,SUR
SVK,-0.70928733190757,0.04033940322565472,6,42.333333333333336,SVK
SVN,0.07843998997811823,0.0516878539970863,6,64.16666666666667,SVN
SWZ,-0.6779408480420835,0.2896721454169258,6,44.166666666666664,SWZ
SYR,-2.4156369261918744,0.14055090214748017,6,15.666666666666666,SYR
